profession_type,year,count,count_per_100000,percent_female,percent_age_under_30,percent_age_30_to_59,percent_age_over_60,province_territory,population
Family medicine,2019,692,131.1,41.9,6.1,71,23,Newfoundland and Labrador,527643
Family medicine,2020,684,129.8,44,6.4,71.400000000000006,22.1,Newfoundland and Labrador,526884
Family medicine,2021,695,131.9,44.5,5.9,71.599999999999994,22.5,Newfoundland and Labrador,527056
Family medicine,2022,702,132.1,47.6,6.8,67.3,25.8,Newfoundland and Labrador,531583
Family medicine,2023,666,123.7,47.9,5,71.7,23.3,Newfoundland and Labrador,538605
Nurse practitioners,2019,183,34.7,86.6,2.2000000000000002,93,4.8,Newfoundland and Labrador,527643
Nurse practitioners,2020,191,36.3,87.1,0.5,94.3,5.3,Newfoundland and Labrador,526884
Nurse practitioners,2021,207,39.3,86.1,0.9,93.5,5.6,Newfoundland and Labrador,527056
Nurse practitioners,2022,231,43.5,85.3,2.2000000000000002,91.8,6.1,Newfoundland and Labrador,531583
Nurse practitioners,2023,260,48.3,86.9,1.5,91.2,7.3,Newfoundland and Labrador,538605
Family medicine,2019,176,113,38.6,5.2,61.7,33.1,Prince Edward Island,155792
Family medicine,2020,175,109.9,37.1,4.7,68.2,27,Prince Edward Island,159193
Family medicine,2021,186,114.7,40.299999999999997,1.9,73.7,24.4,Prince Edward Island,162133
Family medicine,2022,195,116.6,42.1,3.8,71.7,24.5,Prince Edward Island,167188
Family medicine,2023,205,118,42.4,3.6,69.099999999999994,27.3,Prince Edward Island,173787
Nurse practitioners,2019,43,27.6,93,7,93,0,Prince Edward Island,155792
Nurse practitioners,2020,49,30.8,94.7,3.5,96.5,0,Prince Edward Island,159193
Nurse practitioners,2021,53,32.7,95.2,2.4,96.5,1.2,Prince Edward Island,162133
Nurse practitioners,2022,60,35.9,95,1.7,98.3,—,Prince Edward Island,167188
Nurse practitioners,2023,71,40.9,94.4,2.8,95.8,1.4,Prince Edward Island,173787
Family medicine,2019,1295,132.7,46.2,6.8,63.5,29.7,Nova Scotia,975799
Family medicine,2020,1365,138,46.4,7.4,64.599999999999994,28,Nova Scotia,989168
Family medicine,2021,1374,137.4,47.1,7.7,64.900000000000006,27.5,Nova Scotia,999908
Family medicine,2022,1346,131.3,48.6,7.9,64.5,27.6,Nova Scotia,1025445
Family medicine,2023,1279,120.8,50.4,7.8,66.2,26,Nova Scotia,1058694
Nurse practitioners,2019,204,20.9,95.3,1.4,92,6.6,Nova Scotia,975799
Nurse practitioners,2020,220,22.2,92.6,1.3,90.5,8.1999999999999993,Nova Scotia,989168
Nurse practitioners,2021,240,24,91.5,2.2999999999999998,90,7.7,Nova Scotia,999908
Nurse practitioners,2022,274,26.7,90.5,1.5,88,10.6,Nova Scotia,1025445
Nurse practitioners,2023,330,31.2,91.8,1.2,87.9,10.9,Nova Scotia,1058694
Family medicine,2019,1058,136.1,48.1,6.9,64.3,28.8,New Brunswick,777387
Family medicine,2020,1072,136.8,49.5,6.6,64.400000000000006,28.9,New Brunswick,783432
Family medicine,2021,1103,139.5,50.5,6.8,63.5,29.7,New Brunswick,790802
Family medicine,2022,1124,138.8,51,7.8,63.3,28.9,New Brunswick,809568
Family medicine,2023,1181,141.5,51.3,6.4,64.2,29.5,New Brunswick,834691
Nurse practitioners,2019,139,17.9,93.7,2.1,90.2,7.7,New Brunswick,777387
Nurse practitioners,2020,148,18.9,94.2,0.6,90.3,9.1,New Brunswick,783432
Nurse practitioners,2021,159,20.1,92.9,0.6,90,9.4,New Brunswick,790802
Nurse practitioners,2022,171,21.1,93,1.8,89.5,8.8000000000000007,New Brunswick,809568
Nurse practitioners,2023,193,23.1,93.8,3.1,87.6,9.3000000000000007,New Brunswick,834691
Family medicine,2019,10786,127.1,56.6,7.2,64.5,28.3,Quebec,8483186
Family medicine,2020,11098,129.8,57.5,3.3,67.3,29.3,Quebec,8551095
Family medicine,2021,11334,132.2,58.2,0.8,68.7,30.5,Quebec,8572020
Family medicine,2022,11449,132,59.1,0.6,67.8,31.6,Quebec,8672185
Family medicine,2023,11549,130.1,59.6,0.4,66.8,32.700000000000003,Quebec,8874683
Nurse practitioners,2019,545,6.4,90.8,4.2,94.8,1.1000000000000001,Quebec,8483186
Nurse practitioners,2020,686,8,90.3,4.3,94.5,1.2,Quebec,8551095
Nurse practitioners,2021,946,11,89.9,7.6,91.3,1,Quebec,8572020
Nurse practitioners,2022,1183,13.6,89.9,8.5,90.8,0.8,Quebec,8672185
Nurse practitioners,2023,1411,15.9,89.7,8.1999999999999993,91.1,0.7,Quebec,8874683
Family medicine,2019,16863,115.7,45.9,7.2,67.8,25,Ontario,14573565
Family medicine,2020,16990,115.2,46.8,6.6,69.400000000000006,24,Ontario,14761811
Family medicine,2021,17220,116,47.3,6.3,69.3,24.4,Ontario,14842488
Family medicine,2022,17416,115,47.8,5.7,69.8,24.5,Ontario,15145006
Family medicine,2023,17178,110.1,48.2,5.2,70.2,24.5,Ontario,15608369
Nurse practitioners,2019,3451,23.7,93.1,2.1,87.1,10.8,Ontario,14573565
Nurse practitioners,2020,3681,24.9,92.9,2.2000000000000002,87.1,10.7,Ontario,14761811
Nurse practitioners,2021,3861,26,92.6,1.9,86.5,11.6,Ontario,14842488
